k,u,omega
163.000000,0.800000,1.347222
164.000000,0.800000,1.340278
165.000000,0.800000,1.347222
166.000000,0.800000,1.340278
167.000000,0.800000,1.347222
168.000000,0.800000,1.347222
169.000000,0.800000,1.340278
170.000000,0.800000,1.340278
171.000000,0.800000,1.354167
172.000000,0.800000,1.340278
173.000000,0.800000,1.340278
174.000000,0.800000,1.347222
175.000000,0.800000,1.347222
176.000000,0.800000,1.340278
177.000000,0.800000,1.340278
178.000000,0.800000,1.354167
179.000000,0.800000,1.340278
180.000000,0.800000,1.340278
181.000000,0.800000,1.347222
182.000000,0.800000,1.347222
183.000000,0.800000,1.340278
184.000000,0.800000,1.347222
185.000000,0.800000,1.340278
186.000000,0.800000,1.347222
187.000000,0.800000,1.347222
188.000000,0.800000,1.340278
189.000000,0.800000,1.347222
190.000000,0.800000,1.347222
191.000000,0.800000,1.340278
192.000000,0.800000,1.340278
193.000000,0.800000,1.354167
194.000000,0.800000,1.340278
195.000000,0.800000,1.340278
196.000000,0.800000,1.347222
197.000000,0.800000,1.347222
198.000000,0.800000,1.347222
199.000000,0.800000,1.340278
200.000000,0.800000,1.347222
0.000000,0.800000,1.347222
1.000000,0.600000,1.340278
2.000000,0.600000,1.326389
3.000000,0.600000,1.291667
4.000000,0.600000,1.256944
5.000000,0.600000,1.215278
6.000000,0.600000,1.187500
7.000000,0.600000,1.159722
8.000000,0.600000,1.131944
9.000000,0.600000,1.104167
10.000000,0.600000,1.083333
11.000000,0.600000,1.069444
12.000000,0.600000,1.048611
13.000000,0.600000,1.034722
14.000000,0.600000,1.013889
15.000000,0.600000,1.006944
16.000000,0.600000,0.993056
17.000000,0.600000,0.993056
18.000000,0.600000,0.979167
19.000000,0.600000,0.972222
20.000000,0.600000,0.965278
21.000000,0.600000,0.965278
22.000000,0.600000,0.965278
23.000000,0.600000,0.958333
24.000000,0.600000,0.958333
25.000000,0.600000,0.944444
26.000000,0.600000,0.951389
27.000000,0.600000,0.951389
28.000000,0.600000,0.951389
29.000000,0.600000,0.944444
30.000000,0.600000,0.944444
31.000000,0.600000,0.944444
32.000000,0.600000,0.944444
33.000000,0.600000,0.951389
34.000000,0.600000,0.937500
35.000000,0.600000,0.944444
36.000000,0.600000,0.944444
37.000000,0.600000,0.937500
38.000000,0.600000,0.951389
39.000000,0.600000,0.937500
40.000000,0.600000,0.944444
