r,u,omega
0.800000,0.528800,0.805556
0.800000,0.529000,0.798611
0.800000,0.527200,0.798611
0.800000,0.528200,0.798611
0.800000,0.528500,0.798611
0.800000,0.528800,0.798611
0.800000,0.529000,0.805556
0.800000,0.529100,0.798611
0.800000,0.527300,0.798611
0.800000,0.528300,0.798611
0.800000,0.528700,0.798611
0.800000,0.528900,0.798611
0.800000,0.529100,0.805556
0.800000,0.529200,0.805556
0.800000,0.527500,0.798611
0.800000,0.526500,0.798611
0.800000,0.527700,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.805556
0.800000,0.528800,0.798611
0.800000,0.527000,0.798611
0.800000,0.528000,0.798611
0.800000,0.528300,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.528900,0.798611
0.800000,0.527100,0.805556
0.800000,0.528100,0.791667
0.800000,0.526600,0.798611
0.800000,0.529500,0.798611
0.800000,0.529100,0.798611
0.800000,0.529100,0.805556
0.800000,0.529200,0.805556
0.800000,0.527400,0.798611
0.800000,0.526400,0.798611
0.800000,0.527600,0.798611
0.800000,0.528100,0.798611
0.800000,0.528400,0.805556
0.800000,0.528600,0.805556
0.800000,0.526800,0.798611
0.800000,0.525900,0.798611
0.800000,0.527100,0.798611
0.800000,0.527600,0.798611
0.800000,0.527900,0.798611
0.800000,0.528100,0.805556
0.800000,0.528200,0.798611
0.800000,0.526400,0.798611
0.800000,0.527300,0.791667
0.800000,0.527700,0.798611
0.800000,0.529800,0.798611
0.800000,0.529200,0.805556
0.800000,0.529000,0.798611
0.800000,0.527100,0.798611
0.800000,0.528000,0.798611
0.800000,0.528300,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.805556
0.800000,0.528900,0.798611
0.800000,0.527100,0.798611
0.800000,0.528000,0.805556
0.800000,0.528400,0.791667
0.800000,0.526800,0.805556
0.800000,0.529600,0.798611
0.800000,0.527400,0.805556
0.800000,0.528200,0.798611
0.800000,0.526600,0.798611
0.800000,0.527600,0.798611
0.800000,0.528000,0.798611
0.800000,0.528300,0.798611
0.800000,0.528500,0.805556
0.800000,0.528600,0.798611
0.800000,0.526900,0.798611
0.800000,0.527800,0.798611
0.800000,0.528200,0.798611
0.800000,0.528400,0.798611
0.800000,0.528600,0.805556
0.800000,0.528700,0.798611
0.800000,0.527000,0.798611
0.800000,0.527900,0.798611
0.800000,0.528300,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.798611
0.800000,0.528800,0.805556
0.800000,0.529000,0.791667
0.800000,0.527200,0.805556
0.800000,0.530000,0.791667
0.800000,0.527700,0.805556
0.800000,0.530400,0.798611
0.800000,0.528000,0.805556
0.800000,0.528800,0.798611
0.800000,0.527200,0.798611
0.800000,0.528300,0.798611
0.800000,0.528700,0.798611
0.800000,0.529000,0.805556
0.800000,0.529200,0.805556
0.800000,0.527400,0.798611
0.800000,0.526500,0.798611
0.800000,0.527700,0.798611
0.800000,0.528200,0.798611
0.800000,0.528500,0.798611
0.800000,0.528800,0.805556
0.800000,0.528900,0.798611
0.800000,0.527200,0.798611
0.800000,0.528100,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.798611
0.800000,0.528900,0.805556
0.800000,0.529000,0.798611
0.800000,0.527300,0.798611
0.800000,0.528200,0.805556
0.800000,0.528600,0.791667
0.800000,0.527000,0.805556
0.800000,0.529800,0.798611
0.800000,0.527500,0.805556
0.800000,0.528300,0.798611
0.800000,0.526800,0.798611
0.800000,0.527800,0.798611
0.800000,0.528200,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.805556
0.800000,0.528800,0.798611
0.800000,0.527100,0.798611
0.800000,0.528000,0.798611
0.800000,0.528400,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.528900,0.798611
0.800000,0.527200,0.798611
0.800000,0.528100,0.798611
0.800000,0.528500,0.798611
0.800000,0.528700,0.798611
0.800000,0.528900,0.805556
0.800000,0.529000,0.798611
0.800000,0.527300,0.798611
0.800000,0.528200,0.798611
0.800000,0.528600,0.798611
0.800000,0.528800,0.805556
0.800000,0.529000,0.798611
0.800000,0.527300,0.805556
0.800000,0.528200,0.798611
1.300000,0.526700,0.798611
1.300000,0.527800,0.798611
1.300000,0.664100,0.798611
1.300000,0.742200,0.819444
1.300000,0.801200,0.875000
1.300000,0.845300,0.937500
1.300000,0.873100,1.020833
1.300000,0.890000,1.097222
1.300000,0.894100,1.166667
1.300000,0.891400,1.236111
1.300000,0.884600,1.277778
1.300000,0.873100,1.312500
1.300000,0.864300,1.354167
1.300000,0.856700,1.368056
1.300000,0.846400,1.375000
1.300000,0.840700,1.388889
1.300000,0.838100,1.402778
1.300000,0.834600,1.388889
1.300000,0.830200,1.395833
1.300000,0.832200,1.395833
1.300000,0.831700,1.395833
1.300000,0.831700,1.388889
1.300000,0.831700,1.395833
1.300000,0.833600,1.395833
1.300000,0.832500,1.388889
1.300000,0.831800,1.388889
1.300000,0.832900,1.395833
1.300000,0.833000,1.388889
1.300000,0.830700,1.388889
1.300000,0.830800,1.388889
1.300000,0.830100,1.395833
1.300000,0.828900,1.388889
1.300000,0.825600,1.388889
1.300000,0.824600,1.381944
1.300000,0.822900,1.395833
1.300000,0.822700,1.381944
1.300000,0.817600,1.375000
1.300000,0.817300,1.381944
1.300000,0.817500,1.381944
1.300000,0.814400,1.375000
1.300000,0.811400,1.368056
1.300000,0.810200,1.375000
1.300000,0.809800,1.361111
1.300000,0.806400,1.361111
1.300000,0.806800,1.361111
1.300000,0.805600,1.361111
1.300000,0.803700,1.354167
1.300000,0.801300,1.354167
1.300000,0.800600,1.347222
1.300000,0.798800,1.354167
1.300000,0.798500,1.340278
1.300000,0.795100,1.333333
1.300000,0.795900,1.347222
1.300000,0.796900,1.333333
1.300000,0.792700,1.326389
1.300000,0.793300,1.333333
1.300000,0.794300,1.333333
1.300000,0.792100,1.319444
1.300000,0.790100,1.326389
1.300000,0.791900,1.319444
1.300000,0.790200,1.326389
1.300000,0.790500,1.319444
1.300000,0.788000,1.312500
1.300000,0.787900,1.319444
1.300000,0.789000,1.319444
1.300000,0.787100,1.305556
1.300000,0.785600,1.312500
1.300000,0.788000,1.312500
1.300000,0.786800,1.312500
1.300000,0.785900,1.305556
1.300000,0.784900,1.305556
1.300000,0.785800,1.305556
1.300000,0.785900,1.305556
1.300000,0.785700,1.305556
1.300000,0.785300,1.298611
1.300000,0.784800,1.305556
1.300000,0.786200,1.305556
1.300000,0.784800,1.298611
1.300000,0.784000,1.298611
1.300000,0.785200,1.305556
1.300000,0.785600,1.298611
1.300000,0.783900,1.298611
1.300000,0.784800,1.305556
1.300000,0.785100,1.298611
1.300000,0.783300,1.298611
1.300000,0.784100,1.298611
1.300000,0.784400,1.298611
1.300000,0.784500,1.305556
1.300000,0.784500,1.291667
1.300000,0.782600,1.298611
1.300000,0.785200,1.298611
1.300000,0.784600,1.305556
1.300000,0.784400,1.291667
1.300000,0.782400,1.298611
1.300000,0.785000,1.298611
1.300000,0.784400,1.298611
1.300000,0.784200,1.298611
1.300000,0.784100,1.298611
1.300000,0.784100,1.298611
1.300000,0.784000,1.298611
1.300000,0.784000,1.298611
1.300000,0.784000,1.298611
1.300000,0.783900,1.298611
1.300000,0.783900,1.298611
1.300000,0.783900,1.291667
