r,u,omega
1.256200,0.758100,1.263889
1.255000,0.755100,1.256944
1.253700,0.754600,1.256944
1.252500,0.755200,1.256944
1.251200,0.754800,1.256944
1.250000,0.753900,1.256944
1.248700,0.752700,1.250000
1.247500,0.751200,1.256944
1.246200,0.751600,1.250000
1.245000,0.749100,1.243056
1.243700,0.748900,1.250000
1.242500,0.749800,1.243056
1.241200,0.747700,1.250000
1.240000,0.747800,1.236111
1.238700,0.745200,1.243056
1.237500,0.746800,1.243056
1.236200,0.745000,1.236111
1.235000,0.743400,1.236111
1.233700,0.743700,1.236111
1.232500,0.743000,1.236111
1.231200,0.742000,1.229167
1.230000,0.740800,1.229167
1.228700,0.741300,1.229167
1.227500,0.740800,1.229167
1.226200,0.739900,1.229167
1.225000,0.738900,1.222222
1.223700,0.737600,1.222222
1.222500,0.738100,1.229167
1.221200,0.737700,1.222222
1.220000,0.735000,1.222222
1.218800,0.734700,1.215278
1.217500,0.733800,1.215278
1.216200,0.734500,1.222222
1.215000,0.734100,1.208333
1.213800,0.731500,1.215278
1.212500,0.733200,1.208333
1.211200,0.731500,1.215278
1.210000,0.732000,1.208333
1.208800,0.729700,1.208333
1.207500,0.729800,1.208333
1.206200,0.729100,1.208333
1.205000,0.728100,1.201389
1.203800,0.726900,1.201389
1.202500,0.727500,1.201389
1.201200,0.727100,1.208333
1.200000,0.726400,1.194444
1.198800,0.723500,1.201389
1.197500,0.725100,1.194444
1.196200,0.723300,1.194444
1.195000,0.723600,1.201389
1.193700,0.723200,1.187500
1.192500,0.720400,1.187500
1.191200,0.722100,1.194444
1.190000,0.722300,1.194444
1.188700,0.720000,1.187500
1.187500,0.718200,1.180556
1.186200,0.718400,1.187500
1.185000,0.719700,1.187500
1.183700,0.717900,1.187500
1.182500,0.716500,1.173611
1.181200,0.715000,1.187500
1.180000,0.717300,1.180556
1.178700,0.714100,1.180556
1.177500,0.713700,1.173611
1.176200,0.712700,1.173611
1.175000,0.713400,1.180556
1.173700,0.713200,1.173611
1.172500,0.710600,1.166667
1.171200,0.710500,1.173611
1.170000,0.711500,1.166667
1.168700,0.709600,1.173611
1.167500,0.709900,1.166667
1.166200,0.707600,1.159722
1.165000,0.707600,1.166667
1.163700,0.708700,1.166667
1.162500,0.706900,1.159722
1.161200,0.705400,1.159722
1.160000,0.705800,1.159722
1.158700,0.705300,1.159722
1.157500,0.704500,1.159722
1.156200,0.703500,1.152778
1.155000,0.702300,1.152778
1.153700,0.702900,1.159722
1.152500,0.702500,1.152778
1.151300,0.699900,1.145833
1.150000,0.699800,1.145833
1.148700,0.700800,1.152778
1.147500,0.700800,1.152778
1.146300,0.698400,1.145833
1.145000,0.696500,1.138889
1.143700,0.696700,1.145833
1.142500,0.697900,1.145833
1.141300,0.696100,1.138889
1.140000,0.694600,1.138889
1.138700,0.694900,1.138889
1.137500,0.694500,1.138889
1.136300,0.693600,1.138889
1.135000,0.692600,1.131944
1.133700,0.691300,1.131944
1.132500,0.691900,1.131944
1.131200,0.691500,1.131944
1.130000,0.690800,1.131944
1.128700,0.689800,1.125000
1.127500,0.688600,1.125000
1.126300,0.689200,1.131944
1.125000,0.688900,1.125000
1.123700,0.686300,1.125000
1.122500,0.686200,1.118056
1.121200,0.685400,1.125000
1.120000,0.686200,1.118056
1.118700,0.684100,1.118056
1.117500,0.684300,1.118056
1.116300,0.683700,1.111111
1.115000,0.682800,1.125000
1.113700,0.683600,1.111111
1.112500,0.679600,1.111111
1.111200,0.680700,1.111111
1.110000,0.680400,1.111111
1.108700,0.679700,1.111111
1.107500,0.678700,1.111111
1.106200,0.677500,1.104167
1.105000,0.676200,1.104167
1.103700,0.676700,1.104167
