r,omega,u
50,50.2109,-0.105469
50,50.2109,-0.105469
50,50.1992,-0.0976563
50,50.1992,-0.105469
50,50.1992,-0.105469
50,50.1992,-0.105469
50,50.1992,-0.109375
50,50.1875,-0.101563
50,50.1875,-0.105469
50,50.1875,-0.109375
50,50.1875,-0.109375
50,50.1875,-0.109375
50,50.1875,-0.109375
50,50.1719,-0.101563
50,50.1719,-0.109375
50,50.1719,-0.109375
50,50.1719,-0.109375
50,50.1719,-0.109375
50,50.1719,-0.109375
50,50.1719,-0.113281
50,50.1602,-0.105469
50,50.1602,-0.109375
50,50.1602,-0.113281
50,50.1602,-0.113281
50,50.1602,-0.113281
50,50.1602,-0.113281
50,50.1602,-0.113281
50,50.1484,-0.105469
50,50.1484,-0.113281
50,50.1484,-0.113281
50,50.1484,-0.113281
50,50.1484,-0.113281
50,50.1484,-0.113281
50,50.1484,-0.117188
50,50.1484,-0.117188
50,50.1367,-0.109375
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.1367,-0.117188
50,50.125,-0.109375
50,50.125,-0.117188
50,50.125,-0.117188
50,50.125,-0.121094
50,50.125,-0.121094
50,50.125,-0.121094
50,50.125,-0.121094
50,50.125,-0.121094
50,50.125,-0.121094
50,50.125,-0.121094
50,50.1094,-0.113281
50,50.1094,-0.121094
50,50.1094,-0.121094
50,50.1094,-0.121094
50,50.1094,-0.125
50,50.0977,-0.117188
50,50.0977,-0.121094
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.125
50,50.0977,-0.128906
50,50.0859,-0.121094
50,50.0859,-0.125
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0859,-0.128906
50,50.0742,-0.121094
50,50.0742,-0.128906
50,50.0742,-0.128906
50,50.0742,-0.128906
50,50.0742,-0.132813
50,50.0742,-0.132813
50,50.0742,-0.132813
50,50.0625,-0.125
50,50.0625,-0.132813
50,50.0625,-0.132813
50,50.0625,-0.132813
