r,omega,u
29.9375,29.9844,0.140625
30,30.0117,0.136719
30.0625,30.0352,0.140625
30.125,30.0469,0.152344
30.1875,30.0742,0.152344
30.25,30.1094,0.148438
30.3125,30.1484,0.152344
30.375,30.1719,0.160156
30.4375,30.1875,0.175781
30.5,30.2109,0.171875
30.5625,30.25,0.171875
30.625,30.2734,0.183594
30.6875,30.2969,0.1875
30.75,30.3359,0.183594
30.8125,30.3867,0.179688
30.875,30.4375,0.183594
30.9375,30.4844,0.1875
31,30.5742,0.167969
31.0625,30.6719,0.15625
31.125,30.8125,0.132813
31.1875,30.9844,0.101563
31.25,31.1875,0.0742188
31.3125,31.375,0.0664063
31.375,31.5234,0.0742188
31.4375,31.6367,0.0898438
31.5,31.7227,0.0976563
31.5625,31.7969,0.101563
31.625,31.875,0.101563
31.6875,31.9219,0.113281
31.75,31.9727,0.117188
31.8125,32.0234,0.117188
31.875,32.0625,0.125
31.9375,32.1094,0.121094
32,32.1484,0.128906
32.0625,32.2109,0.113281
32.125,32.2734,0.113281
32.1875,32.3594,0.0976563
32.25,32.4375,0.101563
32.3125,32.5117,0.101563
32.375,32.5742,0.105469
32.4375,32.6484,0.0976563
32.5,32.6992,0.113281
32.5625,32.7344,0.121094
32.625,32.7617,0.128906
32.6875,32.7734,0.140625
32.75,32.7852,0.148438
32.8125,32.8125,0.144531
32.875,32.8359,0.148438
32.9375,32.875,0.144531
33,32.9102,0.148438
33.0625,32.9492,0.152344
33.125,32.9844,0.152344
33.1875,33.0234,0.15625
33.25,33.0625,0.160156
33.3125,33.0977,0.164063
33.375,33.1367,0.167969
33.4375,33.1875,0.164063
33.5,33.2344,0.164063
33.5625,33.3125,0.152344
33.625,33.3984,0.144531
33.6875,33.5234,0.117188
33.75,33.6875,0.0898438
33.8125,33.8867,0.0546875
33.875,34.0859,0.0390625
33.9375,34.25,0.046875
34,34.3867,0.0507813
34.0625,34.5117,0.046875
34.125,34.625,0.046875
34.1875,34.7109,0.0546875
34.25,34.7734,0.0664063
34.3125,34.8359,0.0664063
34.375,34.8867,0.0703125
34.4375,34.9219,0.078125
34.5,34.9492,0.0898438
34.5625,34.9844,0.0820313
34.625,35.0234,0.0859375
34.6875,35.0625,0.0859375
34.75,35.0859,0.09375
34.8125,35.1094,0.0976563
34.875,35.1484,0.09375
34.9375,35.1875,0.09375
35,35.2344,0.0898438
35.0625,35.2734,0.0976563
35.125,35.3125,0.0976563
35.1875,35.3594,0.09375
35.25,35.4219,0.0859375
35.3125,35.4844,0.0859375
35.375,35.5625,0.0742188
35.4375,35.6484,0.0664063
35.5,35.7344,0.0625
35.5625,35.8359,0.0507813
35.625,35.9102,0.0625
35.6875,35.9609,0.0742188
35.75,35.9609,0.105469
35.8125,35.9609,0.113281
35.875,35.9609,0.117188
35.9375,35.9727,0.117188
36,35.9727,0.128906
36.0625,35.9727,0.136719
36.125,36,0.128906
36.1875,36.0117,0.140625
36.25,36.0352,0.136719
36.3125,36.0625,0.140625
36.375,36.0859,0.148438
36.4375,36.1094,0.152344
36.5,36.1367,0.15625
36.5625,36.1719,0.152344
36.625,36.1992,0.164063
36.6875,36.2344,0.164063
36.75,36.2617,0.175781
36.8125,36.2969,0.171875
36.875,36.3242,0.183594
36.9375,36.3594,0.183594
37,36.3984,0.1875
37.0625,36.4492,0.183594
37.125,36.5117,0.179688
37.1875,36.5859,0.175781
37.25,36.6875,0.160156
37.3125,36.8359,0.125
37.375,37.0234,0.09375
37.4375,37.2109,0.0820313
37.5,37.3477,0.101563
37.5625,37.4609,0.109375
37.625,37.5625,0.109375
37.6875,37.6367,0.121094
37.75,37.7109,0.121094
37.8125,37.7852,0.121094
37.875,37.8594,0.117188
37.9375,37.9219,0.125
38,37.9727,0.132813
38.0625,38.0234,0.136719
38.125,38.0859,0.128906
38.1875,38.1367,0.136719
38.25,38.1992,0.128906
38.3125,38.2617,0.128906
38.375,38.3477,0.117188
38.4375,38.4375,0.113281
38.5,38.5117,0.117188
38.5625,38.5977,0.109375
38.625,38.6602,0.121094
38.6875,38.7109,0.128906
38.75,38.7617,0.128906
38.8125,38.8125,0.132813
38.875,38.8477,0.140625
38.9375,38.875,0.152344
39,38.8984,0.15625
39.0625,38.9102,0.167969
39.125,38.9375,0.167969
39.1875,38.9727,0.164063
39.25,39.0117,0.167969
39.3125,39.0352,0.179688
39.375,39.0859,0.167969
39.4375,39.1367,0.171875
39.5,39.1875,0.171875
39.5625,39.2344,0.175781
39.625,39.3125,0.164063
39.6875,39.3984,0.15625
39.75,39.5352,0.121094
39.8125,39.7109,0.0898438
39.875,39.8984,0.0703125
39.9375,40.0859,0.0585938
40,40.2227,0.0742188
40.0625,40.3477,0.0742188
40.125,40.4492,0.0820313
40.1875,40.5352,0.0859375
40.25,40.6094,0.0898438
40.3125,40.6719,0.09375
40.375,40.7344,0.09375
40.4375,40.7852,0.0976563
40.5,40.8359,0.101563
40.5625,40.8867,0.101563
40.625,40.9375,0.101563
40.6875,40.9844,0.101563
40.75,41.0234,0.109375
40.8125,41.0625,0.109375
40.875,41.1094,0.105469
40.9375,41.1602,0.105469
41,41.1875,0.121094
41.0625,41.2227,0.117188
41.125,41.2734,0.113281
41.1875,41.3242,0.113281
41.25,41.3867,0.105469
41.3125,41.4492,0.105469
41.375,41.5234,0.0976563
41.4375,41.5977,0.09375
41.5,41.6875,0.0859375
41.5625,41.7734,0.0820313
41.625,41.8594,0.078125
41.6875,41.9102,0.0976563
41.75,41.9375,0.113281
41.8125,41.9375,0.132813
41.875,41.9492,0.132813
41.9375,41.9492,0.144531
42,41.9492,0.152344
42.0625,41.9609,0.152344
42.125,41.9844,0.148438
42.1875,42.0117,0.152344
42.25,42.0352,0.160156
42.3125,42.0742,0.15625
42.375,42.1094,0.160156
42.4375,42.1602,0.15625
42.5,42.1992,0.164063
42.5625,42.2227,0.175781
42.625,42.2617,0.175781
42.6875,42.2852,0.1875
42.75,42.3359,0.175781
42.8125,42.375,0.1875
42.875,42.4219,0.183594
42.9375,42.4844,0.179688
43,42.5469,0.179688
43.0625,42.6484,0.15625
43.125,42.7852,0.132813
43.1875,42.9727,0.09375
43.25,43.1719,0.0703125
43.3125,43.3594,0.0664063
43.375,43.5234,0.0664063
43.4375,43.6602,0.0703125
43.5,43.7617,0.0859375
43.5625,43.8359,0.0976563
43.625,43.9102,0.09375
43.6875,43.9609,0.109375
43.75,44.0117,0.109375
43.8125,44.0625,0.109375
43.875,44.125,0.101563
43.9375,44.1719,0.109375
44,44.2344,0.101563
44.0625,44.3125,0.09375
44.125,44.3867,0.0898438
44.1875,44.4609,0.0898438
44.25,44.5469,0.078125
44.3125,44.6367,0.0742188
44.375,44.6875,0.09375
44.4375,44.7227,0.101563
44.5,44.7617,0.105469
44.5625,44.7734,0.121094
44.625,44.7852,0.125
44.6875,44.8125,0.125
44.75,44.8359,0.125
44.8125,44.8594,0.128906
44.875,44.875,0.140625
44.9375,44.8984,0.140625
45,44.9219,0.144531
45.0625,44.9492,0.148438
45.125,44.9727,0.152344
45.1875,45,0.15625
45.25,45.0352,0.15625
45.3125,45.0742,0.15625
45.375,45.1094,0.160156
45.4375,45.1367,0.171875
45.5,45.1719,0.171875
45.5625,45.2227,0.167969
45.625,45.2852,0.160156
45.6875,45.3594,0.15625
45.75,45.4609,0.136719
45.8125,45.5977,0.113281
45.875,45.7617,0.0898438
45.9375,45.9219,0.078125
46,46.0625,0.0820313
46.0625,46.1602,0.0976563
46.125,46.2344,0.109375
46.1875,46.2969,0.113281
46.25,46.3594,0.113281
46.3125,46.4219,0.113281
46.375,46.5,0.105469
46.4375,46.5742,0.105469
46.5,46.6367,0.109375
46.5625,46.7109,0.101563
46.625,46.7734,0.109375
46.6875,46.8242,0.117188
46.75,46.875,0.117188
46.8125,46.9375,0.109375
46.875,46.9844,0.117188
46.9375,47.0352,0.117188
47,47.0859,0.117188
47.0625,47.1367,0.121094
47.125,47.1719,0.128906
47.1875,47.2109,0.132813
47.25,47.2617,0.125
47.3125,47.3125,0.128906
47.375,47.375,0.121094
47.4375,47.4492,0.113281
47.5,47.5234,0.113281
47.5625,47.6094,0.101563
47.625,47.7109,0.0898438
47.6875,47.8125,0.0859375
47.75,47.8867,0.0976563
47.8125,47.9375,0.113281
47.875,47.9727,0.121094
47.9375,47.9844,0.140625
48,48.0117,0.136719
48.0625,48.0352,0.140625
48.125,48.0469,0.152344
48.1875,48.0742,0.152344
48.25,48.1094,0.148438
48.3125,48.1484,0.148438
48.375,48.1719,0.160156
48.4375,48.1992,0.167969
48.5,48.2227,0.171875
48.5625,48.25,0.175781
48.625,48.2734,0.179688
48.6875,48.2969,0.1875
48.75,48.3359,0.183594
48.8125,48.3867,0.179688
48.875,48.4375,0.183594
48.9375,48.4844,0.1875
49,48.5625,0.175781
49.0625,48.6602,0.160156
49.125,48.8125,0.125
49.1875,49,0.09375
49.25,49.1992,0.0703125
49.3125,49.375,0.0742188
49.375,49.5117,0.0820313
49.4375,49.6367,0.0820313
49.5,49.7227,0.0976563
49.5625,49.7969,0.101563
49.625,49.875,0.101563
49.6875,49.9219,0.113281
49.75,49.9727,0.117188
49.8125,50.0234,0.117188
49.875,50.0625,0.125
49.9375,50.1094,0.117188
